unified_entity_id,canonical_name,pan,city,state,pincode,source_system_count,source_record_ids
ENT-0001,Dynamic Industries Pvt Ltd,AAAOR8558T,Unknown,Unknown,,5,CIN-448539|ESI-158458|GSTIN-614347|PAN_REG-356945|UDYAM-919343
ENT-0002,Shree Industries Limited,AALVS9740S,Unknown,Unknown,,6,CIN-421725|EPF-707843|ESI-913654|GSTIN-446232|PAN_REG-442776|UDYAM-911773
ENT-0003,Acme Corp Pvt Ltd,AAVPP8879D,Unknown,Unknown,,6,CIN-869349|EPF-398039|ESI-931148|GSTIN-498547|PAN_REG-145312|UDYAM-652185
ENT-0004,Acme Cor pLimited,ABBBQ3041M,Unknown,Unknown,,3,EPF-798013|PAN_REG-578655|UDYAM-91230
ENT-0005,Balaji Fabrication Limited,ABOMV6130R,Unknown,Unknown,,4,CIN-994787|EPF-716347|GSTIN-660884|PAN_REG-59607
ENT-0006,Dynamic Ventures LLP,ABSMU5352F,Unknown,Unknown,,4,CIN-168846|ESI-647256|PAN_REG-185431|UDYAM-481412
ENT-0007,Apex Technologies Pvt Ltd,ABVDZ7159H,Unknown,Unknown,,5,CIN-157339|ESI-190969|GSTIN-96757|PAN_REG-532910|UDYAM-984838
ENT-0008,Prime Ventures Limited,ACOED8562K,Unknown,Unknown,,5,CIN-790326|EPF-378446|GSTIN-704733|PAN_REG-143343|UDYAM-577933
ENT-0009,Tech Corp LLP,ACPXE4252Q,Unknown,Unknown,,6,CIN-279383|EPF-536169|ESI-202978|GSTIN-389813|PAN_REG-296081|UDYAM-132718
ENT-0010,Stellar Corp LLP,ACQSQ3840E,Unknown,Unknown,,6,CIN-309749|EPF-322038|ESI-879488|GSTIN-505443|PAN_REG-420763|UDYAM-43459
ENT-0011,Apex Technologies LLP,ACTEJ8511C,Unknown,Unknown,,5,CIN-689853|ESI-573605|GSTIN-536646|PAN_REG-984600|UDYAM-87775
ENT-0012,Dynamic Fabrication Limited,ADAKK2377G,Unknown,Unknown,,5,CIN-854067|EPF-513005|ESI-554458|GSTIN-439575|PAN_REG-40413
ENT-0013,Om Technologies Pvt Ltd,ADJBI1159J,Unknown,Unknown,,7,CIN-601592|EPF-862489|ESI-418967|GSTIN-597398|IEC-43116|PAN_REG-612349|UDYAM-413992
ENT-0014,Pioneer Industries Limited,ADMUV7213Q,Unknown,Unknown,,5,CIN-154204|EPF-62175|ESI-842914|IEC-830162|PAN_REG-290318
ENT-0015,Pioneer Corp Limited,ADQKR2299W,Unknown,Unknown,,5,CIN-921274|EPF-609761|GSTIN-931807|PAN_REG-174585|UDYAM-561901
ENT-0016,Prime Solutions Pvt Ltd,ADQOO5185E,Unknown,Unknown,,5,CIN-117799|ESI-438484|GSTIN-315955|PAN_REG-580934|UDYAM-360369
ENT-0017,Metro Fabrication Pvt Ltd,ADSNV6817V,Unknown,Unknown,,4,CIN-531030|ESI-935871|PAN_REG-795456|UDYAM-540844
ENT-0018,Shree Solutions Pvt Ltd,ADVCR4801Q,Unknown,Unknown,,7,CIN-452867|EPF-240928|ESI-859561|GSTIN-693539|IEC-828824|PAN_REG-111913|UDYAM-514027
ENT-0019,Acme Corp Pvt Ltd,ADXGT1950W,Unknown,Unknown,,4,CIN-979279|GSTIN-834783|PAN_REG-95879|UDYAM-937635
ENT-0020,Acme Ventures Pvt Ltd,AEDPB2012G,Unknown,Unknown,,4,CIN-59258|EPF-912121|GSTIN-72161|PAN_REG-963212
ENT-0021,Dynamic Traders Limited,AEFVV2128N,Unknown,Unknown,,5,CIN-156892|ESI-741218|GSTIN-542216|PAN_REG-620200|UDYAM-749612
ENT-0022,Acme Logistics LLP,AEOAG8558L,Unknown,Unknown,,4,CIN-109070|EPF-986337|ESI-206320|PAN_REG-486804
ENT-0023,Tech Enterprises LLP,AETGQ0528J,Unknown,Unknown,,5,CIN-889922|EPF-827245|GSTIN-730398|PAN_REG-848442|UDYAM-334737
ENT-0024,Pioneer Fabrication LLP,AFURW9115V,Unknown,Unknown,,3,CIN-107313|PAN_REG-138044|UDYAM-69852
ENT-0025,Pioneer Logistics LLP,AFWUA9214H,Unknown,Unknown,,6,CIN-418751|EPF-169259|ESI-702090|GSTIN-994416|PAN_REG-551066|UDYAM-40751
ENT-0026,Sunrise Fabrication LLP,AFZYK5125W,Unknown,Unknown,,5,CIN-613484|EPF-417995|GSTIN-983563|PAN_REG-158423|UDYAM-958129
ENT-0027,Apex Fabrication LLP,AGHSA8567Y,Unknown,Unknown,,5,CIN-138573|EPF-912347|GSTIN-595400|PAN_REG-248825|UDYAM-30312
ENT-0028,Tech Ventures Pvt Ltd,AGNPJ7386M,Unknown,Unknown,,5,CIN-442268|EPF-84094|ESI-302716|GSTIN-148209|PAN_REG-834039
ENT-0029,Apex Corp Pvt Ltd,AGOPH1127G,Unknown,Unknown,,5,CIN-805318|EPF-415282|GSTIN-256642|PAN_REG-738115|UDYAM-433436
ENT-0030,Sunrise Industries Pvt Ltd,AGPRU3897U,Unknown,Unknown,,5,CIN-971648|ESI-712729|GSTIN-946909|PAN_REG-160568|UDYAM-211421
ENT-0031,Stellar Solutions Pvt Ltd,AHIIG3852U,Unknown,Unknown,,3,CIN-632142|PAN_REG-72209|UDYAM-483031
ENT-0032,Stellar Solutions Pvt Ltd,AHUYO9370G,Unknown,Unknown,,5,CIN-856106|EPF-729767|ESI-516467|GSTIN-812271|PAN_REG-792507
ENT-0033,Pioneer Solutions Limited,AIHTC6863I,Unknown,Unknown,,5,CIN-477381|EPF-693323|GSTIN-90696|PAN_REG-86227|UDYAM-965354
ENT-0034,Pioneer Corp Pvt Ltd,AINLV2347H,Unknown,Unknown,,4,CIN-594377|EPF-432554|GSTIN-891534|PAN_REG-857800
ENT-0035,Apex Solutions LLP,AIRCB3028S,Unknown,Unknown,,5,CIN-844874|EPF-922884|ESI-492393|GSTIN-543424|PAN_REG-651189
ENT-0036,Sunrise Technologies LLP,AJJWK6497G,Unknown,Unknown,,6,CIN-843946|EPF-407178|ESI-660425|GSTIN-881998|IEC-980257|PAN_REG-134351
ENT-0037,Metro Corp LLP,AJRBA7986L,Unknown,Unknown,,5,CIN-443061|ESI-594846|GSTIN-645290|PAN_REG-750552|UDYAM-384965
ENT-0038,Pioneer Logistics Limited,AJYAL3406R,Unknown,Unknown,,6,CIN-555084|EPF-837532|ESI-723708|IEC-287316|PAN_REG-357502|UDYAM-48998
ENT-0039,Tech Solutions LLP,AKACF3585O,Unknown,Unknown,,5,CIN-695138|ESI-482385|GSTIN-585152|IEC-260386|PAN_REG-213273
ENT-0040,Acme Traders LLP,AKEUL2725E,Unknown,Unknown,,4,CIN-773825|ESI-843289|GSTIN-537017|PAN_REG-302435
ENT-0041,Apex Logistics Pvt Ltd,AKEWX9802B,Unknown,Unknown,,3,CIN-982159|GSTIN-501580|PAN_REG-569886
ENT-0042,Sunrise Logistics LLP,AKMGN5472I,Unknown,Unknown,,5,CIN-310008|EPF-121907|GSTIN-636225|PAN_REG-724433|UDYAM-104108
ENT-0043,Om Corp LLP,AKNPY6090K,Unknown,Unknown,,4,EPF-59400|GSTIN-160136|PAN_REG-875177|UDYAM-644961
ENT-0044,Tech Technologies LLP,AKQYQ7883U,Unknown,Unknown,,6,CIN-55063|EPF-144009|ESI-188221|GSTIN-514327|IEC-757747|PAN_REG-810861
ENT-0045,Shree Industries Pvt Ltd,AKXMW0449B,Unknown,Unknown,,4,CIN-426015|EPF-228945|ESI-618442|PAN_REG-859953
ENT-0046,Om Traders LLP,ALGFW1930M,Unknown,Unknown,,5,CIN-515980|EPF-797944|GSTIN-64481|PAN_REG-827423|UDYAM-460615
ENT-0047,Shree Ventures Pvt Ltd,ALKPG4702S,Unknown,Unknown,,3,CIN-570044|GSTIN-417472|UDYAM-954739
ENT-0048,Pioneer Logistics LLP,ALPGO0532H,Unknown,Unknown,,6,CIN-699782|EPF-795912|ESI-522624|IEC-530291|PAN_REG-71528|UDYAM-965927
