entity_id,canonical_name,pan,city,state,pincode,source_system_count,resolution_quality,sample_decision_reason
ENT-0001,Dynamic Industries Pvt Ltd,AAAOR8558T,Pune,MH,,5,1.0,Exact PAN match
ENT-0002,Shree Industries Limited,AALVS9740S,Mumbai,MH,,8,0.975,Exact PAN match
ENT-0003,Acme Corp Pvt Ltd,AAVPP8879D,Bengaluru,KA,,6,1.0,Exact PAN match
ENT-0004,ACME CORP LIMITED,ABBBQ3041M,Mumbai,MH,,4,0.975,Exact PAN match
ENT-0005,Balaji Fabrication Limited,ABOMV6130R,Ahmedabad,GJ,,6,0.9666666666666667,Exact PAN match
ENT-0006,Dynamic Ventures LLP,ABSMU5352F,Pune,MH,,6,0.9666666666666667,Exact PAN match
ENT-0007,Apex Technologies Pvt Ltd,ABVDZ7159H,Mumbai,MH,,5,1.0,Exact PAN match
ENT-0008,Prime Ventures Limited,ACOED8562K,Chennai,TN,,7,0.9714285714285714,Exact PAN match
ENT-0009,Tech Corp LLP,ACPXE4252Q,Chennai,TN,,8,0.975,Exact PAN match
ENT-0010,Stellar Corp LLP,ACQSQ3840E,Hyderabad,TS,,8,0.975,Exact PAN match
ENT-0011,Apex Technologies LLP,ACTEJ8511C,Mumbai,MH,,8,0.9625,Exact PAN match
ENT-0012,Dynamic Fabrication Limited,ADAKK2377G,Pune,MH,,6,0.9833333333333334,Exact PAN match
ENT-0013,Om Technologies Pvt Ltd,ADJBI1159J,Chennai,TN,,7,1.0,Exact PAN match
ENT-0014,Pioneer Industries Limited,ADMUV7213Q,Pune,MH,,6,0.9833333333333334,Exact PAN match
ENT-0015,Pioneer Corp Limited,ADQKR2299W,Bengaluru,KA,,7,0.9714285714285714,Exact PAN match
ENT-0016,Prime Solutions Pvt Ltd,ADQOO5185E,Pune,MH,,5,1.0,Exact PAN match
ENT-0017,Metro Fabrication Pvt Ltd,ADSNV6817V,Hyderabad,TS,,4,1.0,Exact PAN match
ENT-0018,Shree Solutions Pvt Ltd,ADVCR4801Q,Chennai,TN,,7,1.0,Exact PAN match
ENT-0019,Acme Corp Pvt Ltd,ADXGT1950W,Delhi,DL,,4,1.0,Exact PAN match
ENT-0020,Acme Ventures Pvt Ltd,AEDPB2012G,Ahmedabad,GJ,,4,1.0,Exact PAN match
ENT-0021,Dynamic Traders Limited,AEFVV2128N,Pune,MH,,7,0.9714285714285714,Exact PAN match
ENT-0022,ACME LOGISTICS LLP,AEOAG8558L,Bengaluru,KA,,7,0.9571428571428572,Exact PAN match
ENT-0023,Tech Enterprises LLP,AETGQ0528J,Bengaluru,KA,,7,0.9714285714285714,Exact PAN match
ENT-0024,PIONEER FABRICATION LLP,AFURW9115V,mumbai,mh,,6,0.9500000000000001,Exact PAN match
ENT-0025,Pioneer Logistics LLP,AFWUA9214H,Hyderabad,TS,,8,0.975,Exact PAN match
ENT-0026,Sunrise Fabrication LLP,AFZYK5125W,Hyderabad,TS,,7,0.9714285714285714,Exact PAN match
ENT-0027,Apex Fabrication LLP,AGHSA8567Y,Pune,MH,,7,0.9714285714285714,Exact PAN match
ENT-0028,Tech Ventures Pvt Ltd,AGNPJ7386M,Delhi,DL,,5,1.0,Exact PAN match
ENT-0029,Apex Corp Pvt Ltd,AGOPH1127G,Delhi,DL,,5,1.0,Exact PAN match
