DeptID,EntityName,PAN,RegisteredAddress,Contact
EPF-741094,Prime Enterprises Pvt Ltd,GLHEF8924L,"Gala No. 71, Shady Complex, Mumbai, MH",800782177
EPF-890464,Metro Fabrication Limited,UTQFT0393K,"plot 397, hitec city, bengaluru, ka",9717194264
EPF-445024,Om Corp Limited,PVHYV0177J,"plot 56, ph 1, electronic city, delhi, dl",9728248148
EPF-103023,Tech Ventures LLP,SRGXP9675N,"plot 186, midc, ahmedabad, gj",9967906652
EPF-150487,Shree Solutions Limited,QBNSG3605D,"plot 523, ph 1, electronic city, ahmedabad, gj",9226543919
EPF-653001,Prime Traders LLP,GDDWL1581M,"plot 945, peenya, bengaluru, ka",9655134037
EPF-603538,Balaji Ventures Limited,VCAZO5904T,"Plot 146, Peenya, Delhi, DL",9588701711
EPF-837532,Pioneer Logistics Limited,AJYAL3406R,"Plot 607, Guindy, Chennai, TN",9242712302
EPF-620452,Stellar Ventures LLP,UGZSQ5157M,"Plot 204, Guindy, Ahmedabad, GJ",9907368491
EPF-828164,Dynamic Industrie sLimited,VQQCW1119R,"plot 718, hitec city, chennai, tn",9980738210
EPF-568357,Global Traders Pvt Ltd,XJGKV6060P,"plot 390, ph 1, electronic city, bengaluru, ka",9653253499
EPF-494393,Global Enterprises Pvt Ltd,UDWRP1360D,"Plot 138, MIDC, Hyderabad, TS",9793472071
EPF-278312,Dynmaic Ventures Limited,LEHNJ5982E,"Plot 670, Peenya, Pune, MH",9429801451
EPF-81943,Dynamic Logistics Pvt Ltd,CKWJG9709J,"plot 241, hitec city, delhi, dl",9789856974
EPF-696633,Dynamic Solutions Pvt Ldt,OCJOA9785S,"plot 693, hitec city, bengaluru, ka",9106130089
EPF-215322,Sunrise Ventures Limited,GFQOZ0202G,"plot 1, ph 1, electronic city, mumbai, mh",9243680464
EPF-796977,Shree Ventures LLP,ESCKV2446O,"plot 883, gidc, ahmedabad, gj",9585198157
EPF-142577,Apex Enterprsies Limited,KSLVO0417D,"gala no. 9, shady complex, hyderabad, ts",800721734
EPF-145311,Dynamic Corp Pvt Ltd,TXXZM4608E,"plot 380, hitec city, chennai, tn",9741894871
EPF-431591,Metro Ventures Pvt Ltd,VDKAM6055I,"plot 748, gidc, bengaluru, ka",9254520089
EPF-237996,Tech Traders Pvt Ltd,TKPSM0981Z,"Plot 161, Hitec City, Delhi, DL",9558490056
EPF-898242,Acme Enterprises Limited,ZPJLH5229G,"Plot 710, Peenya, Delhi, DL",9160803851
EPF-799808,Dyanmic Corp Pvt Ltd,GEXWY3593S,"plot 665, guindy, hyderabad, ts",9109196697
EPF-117107,Apex Industries LLP,CXTWL4523L,"Plot 915, Peenya, Chennai, TN",9973869994
EPF-827245,Tech Enterrpises LLP,AETGQ0528J,"Plot 321, MIDC, Bengaluru, KA",9335329944
EPF-570433,Balaji Solutoins Limited,ZNUSE9759A,"Plot 119, Peenya, Delhi, DL",9456762047
EPF-985825,Sunrise Traders LLP,IJNHH4642I,"plot 701, midc, mumbai, mh",9681595456
EPF-533670,Shree Fabricatoin Limited,APAYN2919V,"plot 575, okhla ind est, mumbai, mh",9803703706
EPF-123792,Global Industries Limited,WZXMA7917I,"Plot 993, GIDC, Delhi, DL",9309208207
EPF-584813,Setllar Traders Limited,DLCPH6369K,"gala no. 24, shady complex, hyderabad, ts",800430565
EPF-768326,Acme Traders Limited,YZOEW5837D,"Plot 15, Peenya, Ahmedabad, GJ",9399610566
EPF-546247,Om Fabrication Pvt Ltd,UGCBV5274A,"Plot 894, GIDC, Bengaluru, KA",9535091391
EPF-392926,Sunrise Traders LLP,PHDCP4186K,"plot 270, gidc, delhi, dl",9383749553
EPF-782217,Global Soluitons Limited,MVKZU3670J,"plot 225, midc, hyderabad, ts",9307519474
EPF-329862,Metro Traders LPL,LZARM6344D,"Plot 356, Phase 1, Electronic City, Delhi, DL",9660230351
EPF-423473,Dynamic Corp LPL,MPVFJ1649N,"Plot 857, Peenya, Hyderabad, TS",9795856174
EPF-952268,Dynamic Ventures Pv tLtd,SRGIW2875L,"plot 791, midc, mumbai, mh",9800651555
EPF-147127,Sunrise Solutions Limited,JDWHQ1864U,"Plot 794, GIDC, Mumbai, MH",9522828620
EPF-423666,Metro Corp LLP,SMEBN9226X,"Plot 839, GIDC, Ahmedabad, GJ",9987940140
EPF-433978,Apex Industries LLP,EGOXL2940A,"plot 269, gidc, mumbai, mh",9454838337
EPF-39823,Balaji Ventures Limited,GVJFW2443A,"plot 373, peenya, delhi, dl",9241801903
EPF-72886,Metro Fabrication Limited,DUKAY7574S,"plot 640, hitec city, mumbai, mh",9249884273
EPF-12867,Pioneer Logistics Pvt Ltd,JFICF9920Z,"plot 348, peenya, chennai, tn",9537696699
EPF-769480,Dynamic Fabrication LLP,JCNXK8767X,"plot 427, midc, hyderabad, ts",9314156247
EPF-349060,Shree Technologies LLP,UGPGS8399Y,"Plot 901, Phase 1, Electronic City, Pune, MH",9378295849
EPF-281550,Acme Industries LLP,WMQQB1487V,"Plot 660, Hitec City, Delhi, DL",9414577683
EPF-585155,Shree Solutions Limited,SCBTS7372V,"plot 101, peenya, hyderabad, ts",9244221674
EPF-179861,Shree Traders LLP,RAFTE9539P,"Plot 720, Okhla Ind Estate, Bengaluru, KA",9873096250
EPF-764303,Stellar Fabrication Limited,TANRZ5248Q,"Plot 645, Guindy, Bengaluru, KA",9388877427
EPF-232777,Global Enterprises LLP,KUPYB2465Y,"plot 985, gidc, chennai, tn",9332324787
EPF-676564,Pioneer Fabrication Limited,FMHMU1185Q,"Plot 114, Okhla Ind Estate, Delhi, DL",9130821768
EPF-906851,Pioneer oLgistics LLP,TOXVI9092P,"Plot 691, GIDC, Bengaluru, KA",9999693047
EPF-615125,Global Fabricaiton Pvt Ltd,JOYVP2189R,"Plot 176, Hitec City, Mumbai, MH",9678481443
EPF-776655,Shree Industries LLP,RBRFP8342C,"Plot 644, MIDC, Delhi, DL",9532288739
EPF-373378,Balaji Technologeis Pvt Ltd,QJVXH7000A,"Plot 919, Hitec City, Pune, MH",9414243276
