DeptID,EntityName,PAN,RegisteredAddress,Contact
ESI-715549,Prime Ventures Pvt Ltd,TFIGO3594V,"Plot 848, Hitec City, Hyderabad, TS",9760016090
ESI-862810,Stellar Venture sLLP,LZYXZ1750Z,"Plot 250, Peenya, Bengaluru, KA",9771763493
ESI-966561,Prime Ventures Pvt Ltd,AQINM6800O,"Plot 877, Peenya, Delhi, DL",9118872918
ESI-206338,Tech eVntures LLP,SRGXP9675N,"Plot 186, MIDC, Ahmedabad, GJ",9967906652
ESI-848349,Shree Solutions Limited,QBNSG3605D,"plot 523, ph 1, electronic city, ahmedabad, gj",9226543919
ESI-128663,Prime TradersL LP,GDDWL1581M,"Plot 945, Peenya, Bengaluru, KA",9655134037
ESI-150746,Balaji Ventures Limited,VCAZO5904T,"plot 146, peenya, delhi, dl",9588701711
ESI-723708,Pioneer Logistics Limited,AJYAL3406R,"Plot 607, Guindy, Chennai, TN",9242712302
ESI-873802,Stellar Ventures LLP,UGZSQ5157M,"Plot 204, Guindy, Ahmedabad, GJ",9907368491
ESI-663412,Pioneer Fabrication LLP,XADTP4775C,"Plot 819, MIDC, Delhi, DL",9156348447
ESI-981034,Dynamic Industries Limited,VQQCW1119R,"plot 718, hitec city, chennai, tn",9980738210
ESI-366521,Global Enteprrises Pvt Ltd,UDWRP1360D,"Plot 138, MIDC, Hyderabad, TS",9793472071
ESI-223301,Stlelar Solutions Limited,DZILO9340D,"Plot 409, Hitec City, Mumbai, MH",9849899739
ESI-249803,Dynamic Logistics Pvt Ltd,CKWJG9709J,"Plot 241, Hitec City, Delhi, DL",9789856974
ESI-816367,Stellar Fabrication Limited,XNZNM4403C,"Plot 208, Hitec City, Ahmedabad, GJ",9638815844
ESI-102234,Apex Enterprises Limited,KSLVO0417D,"gala no. 9, shady complex, hyderabad, ts",800721734
ESI-870583,Merto Ventures Pvt Ltd,VDKAM6055I,"Plot 748, GIDC, Bengaluru, KA",9254520089
ESI-896855,Metro Fabrication Limited,KJBKC0850H,"plot 388, ph 1, electronic city, ahmedabad, gj",9259822783
ESI-799918,Tech Tradres Pvt Ltd,TKPSM0981Z,"plot 161, hitec city, delhi, dl",9558490056
ESI-80596,Dynamic Corp Pvt Ltd,GEXWY3593S,"Plot 665, Guindy, Hyderabad, TS",9109196697
ESI-876527,Balaji Solutoins Limited,ZNUSE9759A,"Plot 119, Peenya, Delhi, DL",9456762047
ESI-294601,Sunrise Traders LLP,IJNHH4642I,"plot 701, midc, mumbai, mh",9681595456
