DeptID,EntityName,PAN,RegisteredAddress,Contact
GSTIN-259512,Metro Fabrication Limited,UTQFT0393K,"Plot 397, Hitec City, Bengaluru, KA",9717194264
GSTIN-239815,Prime Ventures Pvt Ltd,TFIGO3594V,"Plot 848, Hitec City, Hyderabad, TS",9760016090
GSTIN-205553,Om Corp Limited,PVHYV0177J,"Plot 56, Phase 1, Electronic City, Delhi, DL",9728248148
GSTIN-135088,Stellar Ventures LLP,LZYXZ1750Z,"Plot 250, Peenya, Bengaluru, KA",9771763493
GSTIN-884383,Balaji Traders Pvt Ltd,FSRHV5047L,"Plot 695, Hitec City, Pune, MH",9605033423
GSTIN-55648,Prime Ventures Pvt Ltd,AQINM6800O,"Plot 877, Peenya, Delhi, DL",9118872918
GSTIN-18100,Tech Ventures LLP,SRGXP9675N,"Plot 186, MIDC, Ahmedabad, GJ",9967906652
GSTIN-733411,Shree Solutions Limited,QBNSG3605D,"Plot 523, Phase 1, Electronic City, Ahmedabad, GJ",9226543919
GSTIN-28070,Prime Traders LLP,GDDWL1581M,"Plot 945, Peenya, Bengaluru, KA",9655134037
GSTIN-310063,Balaji Ventures Limited,VCAZO5904T,"Plot 146, Peenya, Delhi, DL",9588701711
GSTIN-55729,Stellar Ventures LLP,UGZSQ5157M,"Plot 204, Guindy, Ahmedabad, GJ",9907368491
GSTIN-964512,Pioneer Fabrication LLP,XADTP4775C,"Plot 819, MIDC, Delhi, DL",9156348447
GSTIN-614372,Dynamic Industries Limited,VQQCW1119R,"Plot 718, Hitec City, Chennai, TN",9980738210
GSTIN-965934,Global Traders Pvt Ltd,XJGKV6060P,"Plot 390, Phase 1, Electronic City, Bengaluru, KA",9653253499
GSTIN-618155,Global Enterprises Pvt Ltd,UDWRP1360D,"Plot 138, MIDC, Hyderabad, TS",9793472071
GSTIN-255620,Stellar Solutions Limited,DZILO9340D,"Plot 409, Hitec City, Mumbai, MH",9849899739
GSTIN-140519,Dynamic Ventures Limited,LEHNJ5982E,"Plot 670, Peenya, Pune, MH",9429801451
GSTIN-72277,Dynamic Logistics Pvt Ltd,CKWJG9709J,"Plot 241, Hitec City, Delhi, DL",9789856974
GSTIN-507291,Dynamic Solutions Pvt Ltd,OCJOA9785S,"Plot 693, Hitec City, Bengaluru, KA",9106130089
GSTIN-445140,Sunrise Ventures Limited,GFQOZ0202G,"Plot 1, Phase 1, Electronic City, Mumbai, MH",9243680464
GSTIN-316137,Stellar Fabrication Limited,XNZNM4403C,"Plot 208, Hitec City, Ahmedabad, GJ",9638815844
GSTIN-513192,Shree Ventures LLP,ESCKV2446O,"Plot 883, GIDC, Ahmedabad, GJ",9585198157
GSTIN-87208,Pioneer Fabrication Limited,LBPWT7220Q,"Plot 587, GIDC, Delhi, DL",9125117281
GSTIN-28090,Apex Enterprises Limited,KSLVO0417D,"Gala No. 9, Shady Complex, Hyderabad, TS",800721734
GSTIN-456424,Dynamic Corp Pvt Ltd,TXXZM4608E,"Plot 380, Hitec City, Chennai, TN",9741894871
GSTIN-467924,Metro Ventures Pvt Ltd,VDKAM6055I,"Plot 748, GIDC, Bengaluru, KA",9254520089
GSTIN-316423,Metro Fabrication Limited,KJBKC0850H,"Plot 388, Phase 1, Electronic City, Ahmedabad, GJ",9259822783
GSTIN-888511,Tech Traders Pvt Ltd,TKPSM0981Z,"Plot 161, Hitec City, Delhi, DL",9558490056
GSTIN-638467,Acme Enterprises Limited,ZPJLH5229G,"Plot 710, Peenya, Delhi, DL",9160803851
GSTIN-706811,Dynamic Corp Pvt Ltd,GEXWY3593S,"Plot 665, Guindy, Hyderabad, TS",9109196697
GSTIN-628011,Apex Industries LLP,CXTWL4523L,"Plot 915, Peenya, Chennai, TN",9973869994
GSTIN-730398,Tech Enterprises LLP,AETGQ0528J,"Plot 321, MIDC, Bengaluru, KA",9335329944
GSTIN-465539,Balaji Solutions Limited,ZNUSE9759A,"Plot 119, Peenya, Delhi, DL",9456762047
GSTIN-271406,Sunrise Traders LLP,IJNHH4642I,"Plot 701, MIDC, Mumbai, MH",9681595456
GSTIN-318533,Shree Fabrication Limited,APAYN2919V,"Plot 575, Okhla Ind Estate, Mumbai, MH",9803703706
GSTIN-560314,Global Industries Limited,WZXMA7917I,"Plot 993, GIDC, Delhi, DL",9309208207
GSTIN-447214,Stellar Traders Limited,DLCPH6369K,"Gala No. 24, Shady Complex, Hyderabad, TS",800430565
GSTIN-874484,Acme Traders Limited,YZOEW5837D,"Plot 15, Peenya, Ahmedabad, GJ",9399610566
GSTIN-490955,Om Fabrication Pvt Ltd,UGCBV5274A,"Plot 894, GIDC, Bengaluru, KA",9535091391
GSTIN-455354,Sunrise Traders LLP,PHDCP4186K,"Plot 270, GIDC, Delhi, DL",9383749553
GSTIN-891519,Sunrise Enterprises LLP,CKFIL6258Y,"Plot 943, Peenya, Hyderabad, TS",9523217629
GSTIN-272663,Global Solutions Limited,MVKZU3670J,"Plot 225, MIDC, Hyderabad, TS",9307519474
GSTIN-814640,Prime Technologies Pvt Ltd,SHSNB4720W,"Plot 166, Guindy, Chennai, TN",9669991657
GSTIN-479538,Metro Traders LLP,LZARM6344D,"Plot 356, Phase 1, Electronic City, Delhi, DL",9660230351
GSTIN-380922,Dynamic Corp LLP,MPVFJ1649N,"Plot 857, Peenya, Hyderabad, TS",9795856174
GSTIN-952760,Dynamic Ventures Pvt Ltd,SRGIW2875L,"Plot 791, MIDC, Mumbai, MH",9800651555
GSTIN-146574,Acme Technologies Pvt Ltd,TWZWH7256W,"Plot 780, Phase 1, Electronic City, Ahmedabad, GJ",9978934515
GSTIN-110300,Prime Industries Pvt Ltd,XUEOZ4030P,"Plot 117, Okhla Ind Estate, Delhi, DL",9512156050
GSTIN-799108,Sunrise Solutions Limited,JDWHQ1864U,"Plot 794, GIDC, Mumbai, MH",9522828620
GSTIN-875182,Apex Industries LLP,EGOXL2940A,"Plot 269, GIDC, Mumbai, MH",9454838337
GSTIN-79003,Balaji Ventures Limited,GVJFW2443A,"Plot 373, Peenya, Delhi, DL",9241801903
GSTIN-827248,Metro Fabrication Limited,DUKAY7574S,"Plot 640, Hitec City, Mumbai, MH",9249884273
GSTIN-391791,Metro Technologies Limited,IGSYU7679D,"Gala No. 65, Shady Complex, Ahmedabad, GJ",800868010
GSTIN-272163,Global Corp Limited,SDUJK7623C,"Plot 840, Hitec City, Pune, MH",9367530705
GSTIN-464508,Pioneer Logistics Pvt Ltd,JFICF9920Z,"Plot 348, Peenya, Chennai, TN",9537696699
GSTIN-247002,Dynamic Fabrication LLP,JCNXK8767X,"Plot 427, MIDC, Hyderabad, TS",9314156247
GSTIN-263975,Shree Technologies LLP,UGPGS8399Y,"Plot 901, Phase 1, Electronic City, Pune, MH",9378295849
GSTIN-608833,Shree Solutions Limited,SCBTS7372V,"Plot 101, Peenya, Hyderabad, TS",9244221674
GSTIN-791272,Shree Traders LLP,RAFTE9539P,"Plot 720, Okhla Ind Estate, Bengaluru, KA",9873096250
GSTIN-561654,Dynamic Enterprises Limited,OOABT6200Y,"Plot 446, Peenya, Hyderabad, TS",9946579258
GSTIN-468996,Global Enterprises LLP,KUPYB2465Y,"Plot 985, GIDC, Chennai, TN",9332324787
GSTIN-214441,Pioneer Fabrication Limited,FMHMU1185Q,"Plot 114, Okhla Ind Estate, Delhi, DL",9130821768
GSTIN-120119,Pioneer Logistics LLP,TOXVI9092P,"Plot 691, GIDC, Bengaluru, KA",9999693047
GSTIN-33046,Global Fabrication Pvt Ltd,JOYVP2189R,"Plot 176, Hitec City, Mumbai, MH",9678481443
GSTIN-380315,Shree Industries LLP,RBRFP8342C,"Plot 644, MIDC, Delhi, DL",9532288739
GSTIN-246703,Balaji Technologies Pvt Ltd,QJVXH7000A,"Plot 919, Hitec City, Pune, MH",9414243276
GSTIN-161514,Prime Industries Pvt Ltd,YJNJV8035U,"Gala No. 10, Shady Complex, Pune, MH",800416060
GSTIN-396259,Shree Industries Limited,FQVMZ1678E,"Plot 748, Phase 1, Electronic City, Ahmedabad, GJ",9786225820
GSTIN-121844,Metro Traders LLP,RRFIF3311V,"Plot 524, GIDC, Bengaluru, KA",9601897820
GSTIN-978359,Tech Traders Pvt Ltd,ILQRR2090L,"Plot 654, Hitec City, Pune, MH",9912966413
GSTIN-694485,Sunrise Corp LLP,JFJGY0370N,"Plot 126, Okhla Ind Estate, Pune, MH",9210169823
GSTIN-238985,Stellar Ventures LLP,CKZVI4083W,"Plot 768, Phase 1, Electronic City, Ahmedabad, GJ",9234407655
GSTIN-418236,Sunrise Logistics Limited,WLXQI0523R,"Plot 247, MIDC, Ahmedabad, GJ",9379343397
GSTIN-630540,Prime Industries Limited,TTSEB7730Q,"Plot 958, Okhla Ind Estate, Hyderabad, TS",9793024569
GSTIN-727194,Global Traders LLP,MYBBC1731H,"Plot 536, MIDC, Ahmedabad, GJ",9831061074
GSTIN-832246,Metro Fabrication Limited,LYFON1331Q,"Plot 255, Hitec City, Delhi, DL",9678236088
GSTIN-126469,Apex Corp LLP,EOHTW7037N,"Plot 466, Guindy, Ahmedabad, GJ",9649538629
GSTIN-632495,Prime Logistics LLP,HVVCP6092X,"Plot 935, Phase 1, Electronic City, Bengaluru, KA",9842776680
GSTIN-223746,Om Enterprises Limited,OOFXF6114L,"Plot 910, GIDC, Bengaluru, KA",9942226050
GSTIN-52497,Acme Enterprises Pvt Ltd,RXRYX1765Y,"Plot 8, Hitec City, Mumbai, MH",9668302099
GSTIN-319475,Om Enterprises LLP,CQSQN3058O,"Plot 709, Peenya, Ahmedabad, GJ",9158292355
GSTIN-99106,Balaji Logistics Limited,SJRVY2448J,"Plot 585, Okhla Ind Estate, Hyderabad, TS",9896590144
GSTIN-235915,Tech Ventures Limited,NTPRM2932L,"Plot 735, Peenya, Mumbai, MH",9253978668
GSTIN-809326,Om Technologies LLP,XYEZB7398Q,"Plot 944, MIDC, Ahmedabad, GJ",9424060931
GSTIN-755207,Sunrise Traders LLP,QXWKX1859A,"Plot 183, Phase 1, Electronic City, Hyderabad, TS",9103783856
GSTIN-247401,Balaji Technologies Limited,TSYNM9555B,"Plot 785, Phase 1, Electronic City, Chennai, TN",9996072388
GSTIN-636965,Prime Ventures Limited,XWYCH7500X,"Plot 690, Peenya, Pune, MH",9415307846
GSTIN-762168,Acme Enterprises Pvt Ltd,SCSHQ4146X,"Plot 830, Guindy, Pune, MH",9848732935
