DeptID,EntityName,PAN,RegisteredAddress,Contact
PAN_REG-299829,Prime Enterprises Pvt Ltd,GLHEF8924L,"Gala No. 71, Shady Complex, Mumbai, MH",800782177
PAN_REG-938055,Metro Fabrication Limited,UTQFT0393K,"Plot 397, Hitec City, Bengaluru, KA",9717194264
PAN_REG-554283,Prime Ventures Pvt Ltd,TFIGO3594V,"Plot 848, Hitec City, Hyderabad, TS",9760016090
PAN_REG-941772,Om Corp Limited,PVHYV0177J,"Plot 56, Phase 1, Electronic City, Delhi, DL",9728248148
PAN_REG-98655,Stellar Ventures LLP,LZYXZ1750Z,"Plot 250, Peenya, Bengaluru, KA",9771763493
PAN_REG-291843,Balaji Traders Pvt Ltd,FSRHV5047L,"Plot 695, Hitec City, Pune, MH",9605033423
PAN_REG-215052,Prime Ventures Pvt Ltd,AQINM6800O,"Plot 877, Peenya, Delhi, DL",9118872918
PAN_REG-524845,Tech Ventures LLP,SRGXP9675N,"Plot 186, MIDC, Ahmedabad, GJ",9967906652
PAN_REG-840417,Shree Solutions Limited,QBNSG3605D,"Plot 523, Phase 1, Electronic City, Ahmedabad, GJ",9226543919
PAN_REG-556254,Prime Traders LLP,GDDWL1581M,"Plot 945, Peenya, Bengaluru, KA",9655134037
PAN_REG-82620,Balaji Ventures Limited,VCAZO5904T,"Plot 146, Peenya, Delhi, DL",9588701711
PAN_REG-357502,Pioneer Logistics Limited,AJYAL3406R,"Plot 607, Guindy, Chennai, TN",9242712302
PAN_REG-421087,Stellar Ventures LLP,UGZSQ5157M,"Plot 204, Guindy, Ahmedabad, GJ",9907368491
PAN_REG-612562,Pioneer Fabrication LLP,XADTP4775C,"Plot 819, MIDC, Delhi, DL",9156348447
PAN_REG-372730,Dynamic Industries Limited,VQQCW1119R,"Plot 718, Hitec City, Chennai, TN",9980738210
PAN_REG-654884,Global Traders Pvt Ltd,XJGKV6060P,"Plot 390, Phase 1, Electronic City, Bengaluru, KA",9653253499
PAN_REG-758116,Global Enterprises Pvt Ltd,UDWRP1360D,"Plot 138, MIDC, Hyderabad, TS",9793472071
PAN_REG-456081,Stellar Solutions Limited,DZILO9340D,"Plot 409, Hitec City, Mumbai, MH",9849899739
PAN_REG-500801,Dynamic Ventures Limited,LEHNJ5982E,"Plot 670, Peenya, Pune, MH",9429801451
PAN_REG-574358,Dynamic Logistics Pvt Ltd,CKWJG9709J,"Plot 241, Hitec City, Delhi, DL",9789856974
PAN_REG-528981,Dynamic Solutions Pvt Ltd,OCJOA9785S,"Plot 693, Hitec City, Bengaluru, KA",9106130089
PAN_REG-44917,Sunrise Ventures Limited,GFQOZ0202G,"Plot 1, Phase 1, Electronic City, Mumbai, MH",9243680464
PAN_REG-374003,Stellar Fabrication Limited,XNZNM4403C,"Plot 208, Hitec City, Ahmedabad, GJ",9638815844
PAN_REG-230455,Shree Ventures LLP,ESCKV2446O,"Plot 883, GIDC, Ahmedabad, GJ",9585198157
PAN_REG-968067,Pioneer Fabrication Limited,LBPWT7220Q,"Plot 587, GIDC, Delhi, DL",9125117281
PAN_REG-85205,Apex Enterprises Limited,KSLVO0417D,"Gala No. 9, Shady Complex, Hyderabad, TS",800721734
PAN_REG-342882,Dynamic Corp Pvt Ltd,TXXZM4608E,"Plot 380, Hitec City, Chennai, TN",9741894871
PAN_REG-488392,Metro Fabrication Limited,KJBKC0850H,"Plot 388, Phase 1, Electronic City, Ahmedabad, GJ",9259822783
PAN_REG-987784,Tech Traders Pvt Ltd,TKPSM0981Z,"Plot 161, Hitec City, Delhi, DL",9558490056
PAN_REG-617061,Acme Enterprises Limited,ZPJLH5229G,"Plot 710, Peenya, Delhi, DL",9160803851
PAN_REG-189303,Dynamic Corp Pvt Ltd,GEXWY3593S,"Plot 665, Guindy, Hyderabad, TS",9109196697
PAN_REG-493117,Apex Industries LLP,CXTWL4523L,"Plot 915, Peenya, Chennai, TN",9973869994
PAN_REG-848442,Tech Enterprises LLP,AETGQ0528J,"Plot 321, MIDC, Bengaluru, KA",9335329944
PAN_REG-67164,Balaji Solutions Limited,ZNUSE9759A,"Plot 119, Peenya, Delhi, DL",9456762047
PAN_REG-108969,Sunrise Traders LLP,IJNHH4642I,"Plot 701, MIDC, Mumbai, MH",9681595456
PAN_REG-520206,Balaji Solutions Pvt Ltd,EJLCF1171K,"Plot 261, Hitec City, Pune, MH",9326584576
PAN_REG-99032,Shree Fabrication Limited,APAYN2919V,"Plot 575, Okhla Ind Estate, Mumbai, MH",9803703706
PAN_REG-404651,Global Industries Limited,WZXMA7917I,"Plot 993, GIDC, Delhi, DL",9309208207
