DeptID,EntityName,PAN,RegisteredAddress,Contact
CIN-758764,Prime Enterprises Pvt Ltd,GLHEF8924L,"Gala No. 71, Shady Complex, Mumbai, MH",800782177
CIN-216182,Metro Fabrication Limited,UTQFT0393K,"Plot 397, Hitec City, Bengaluru, KA",9717194264
CIN-331347,Prime Ventures Pvt Ltd,TFIGO3594V,"Plot 848, Hitec City, Hyderabad, TS",9760016090
CIN-808859,Om Corp Limited,PVHYV0177J,"Plot 56, Phase 1, Electronic City, Delhi, DL",9728248148
CIN-795866,Stellar Ventures LLP,LZYXZ1750Z,"Plot 250, Peenya, Bengaluru, KA",9771763493
CIN-972760,Balaji Traders Pvt Ltd,FSRHV5047L,"Plot 695, Hitec City, Pune, MH",9605033423
CIN-763737,Prime Ventures Pvt Ltd,AQINM6800O,"Plot 877, Peenya, Delhi, DL",9118872918
CIN-980704,Tech Ventures LLP,SRGXP9675N,"Plot 186, MIDC, Ahmedabad, GJ",9967906652
CIN-144425,Shree Solutions Limited,QBNSG3605D,"Plot 523, Phase 1, Electronic City, Ahmedabad, GJ",9226543919
CIN-862809,Prime Traders LLP,GDDWL1581M,"Plot 945, Peenya, Bengaluru, KA",9655134037
CIN-524920,Balaji Ventures Limited,VCAZO5904T,"Plot 146, Peenya, Delhi, DL",9588701711
CIN-555084,Pioneer Logistics Limited,AJYAL3406R,"Plot 607, Guindy, Chennai, TN",9242712302
CIN-614989,Stellar Ventures LLP,UGZSQ5157M,"Plot 204, Guindy, Ahmedabad, GJ",9907368491
CIN-18298,Pioneer Fabrication LLP,XADTP4775C,"Plot 819, MIDC, Delhi, DL",9156348447
CIN-670579,Dynamic Industries Limited,VQQCW1119R,"Plot 718, Hitec City, Chennai, TN",9980738210
CIN-211563,Global Traders Pvt Ltd,XJGKV6060P,"Plot 390, Phase 1, Electronic City, Bengaluru, KA",9653253499
CIN-678663,Global Enterprises Pvt Ltd,UDWRP1360D,"Plot 138, MIDC, Hyderabad, TS",9793472071
CIN-302037,Stellar Solutions Limited,DZILO9340D,"Plot 409, Hitec City, Mumbai, MH",9849899739
CIN-772959,Dynamic Ventures Limited,LEHNJ5982E,"Plot 670, Peenya, Pune, MH",9429801451
CIN-931565,Dynamic Logistics Pvt Ltd,CKWJG9709J,"Plot 241, Hitec City, Delhi, DL",9789856974
CIN-265105,Dynamic Solutions Pvt Ltd,OCJOA9785S,"Plot 693, Hitec City, Bengaluru, KA",9106130089
CIN-681675,Sunrise Ventures Limited,GFQOZ0202G,"Plot 1, Phase 1, Electronic City, Mumbai, MH",9243680464
CIN-302042,Stellar Fabrication Limited,XNZNM4403C,"Plot 208, Hitec City, Ahmedabad, GJ",9638815844
CIN-36662,Shree Ventures LLP,ESCKV2446O,"Plot 883, GIDC, Ahmedabad, GJ",9585198157
CIN-931045,Pioneer Fabrication Limited,LBPWT7220Q,"Plot 587, GIDC, Delhi, DL",9125117281
CIN-426483,Apex Enterprises Limited,KSLVO0417D,"Gala No. 9, Shady Complex, Hyderabad, TS",800721734
CIN-372158,Dynamic Corp Pvt Ltd,TXXZM4608E,"Plot 380, Hitec City, Chennai, TN",9741894871
CIN-652839,Metro Ventures Pvt Ltd,VDKAM6055I,"Plot 748, GIDC, Bengaluru, KA",9254520089
CIN-617667,Metro Fabrication Limited,KJBKC0850H,"Plot 388, Phase 1, Electronic City, Ahmedabad, GJ",9259822783
CIN-206298,Tech Traders Pvt Ltd,TKPSM0981Z,"Plot 161, Hitec City, Delhi, DL",9558490056
CIN-601387,Acme Enterprises Limited,ZPJLH5229G,"Plot 710, Peenya, Delhi, DL",9160803851
CIN-925569,Apex Industries LLP,CXTWL4523L,"Plot 915, Peenya, Chennai, TN",9973869994
CIN-889922,Tech Enterprises LLP,AETGQ0528J,"Plot 321, MIDC, Bengaluru, KA",9335329944
CIN-427338,Balaji Solutions Limited,ZNUSE9759A,"Plot 119, Peenya, Delhi, DL",9456762047
CIN-636561,Sunrise Traders LLP,IJNHH4642I,"Plot 701, MIDC, Mumbai, MH",9681595456
CIN-290262,Balaji Solutions Pvt Ltd,EJLCF1171K,"Plot 261, Hitec City, Pune, MH",9326584576
CIN-180102,Shree Fabrication Limited,APAYN2919V,"Plot 575, Okhla Ind Estate, Mumbai, MH",9803703706
CIN-240794,Global Industries Limited,WZXMA7917I,"Plot 993, GIDC, Delhi, DL",9309208207
CIN-468461,Metro Fabrication LLP,ZQRAF1485O,"Plot 881, MIDC, Ahmedabad, GJ",9262992772
CIN-838258,Stellar Traders Limited,DLCPH6369K,"Gala No. 24, Shady Complex, Hyderabad, TS",800430565
CIN-676014,Acme Traders Limited,YZOEW5837D,"Plot 15, Peenya, Ahmedabad, GJ",9399610566
CIN-284131,Om Fabrication Pvt Ltd,UGCBV5274A,"Plot 894, GIDC, Bengaluru, KA",9535091391
CIN-121577,Sunrise Traders LLP,PHDCP4186K,"Plot 270, GIDC, Delhi, DL",9383749553
CIN-633981,Sunrise Enterprises LLP,CKFIL6258Y,"Plot 943, Peenya, Hyderabad, TS",9523217629
CIN-449460,Global Solutions Limited,MVKZU3670J,"Plot 225, MIDC, Hyderabad, TS",9307519474
CIN-127668,Prime Technologies Pvt Ltd,SHSNB4720W,"Plot 166, Guindy, Chennai, TN",9669991657
CIN-209613,Metro Traders LLP,LZARM6344D,"Plot 356, Phase 1, Electronic City, Delhi, DL",9660230351
CIN-459481,Dynamic Corp LLP,MPVFJ1649N,"Plot 857, Peenya, Hyderabad, TS",9795856174
CIN-980391,Dynamic Ventures Pvt Ltd,SRGIW2875L,"Plot 791, MIDC, Mumbai, MH",9800651555
CIN-201570,Acme Technologies Pvt Ltd,TWZWH7256W,"Plot 780, Phase 1, Electronic City, Ahmedabad, GJ",9978934515
CIN-362117,Prime Industries Pvt Ltd,XUEOZ4030P,"Plot 117, Okhla Ind Estate, Delhi, DL",9512156050
CIN-97194,Sunrise Solutions Limited,JDWHQ1864U,"Plot 794, GIDC, Mumbai, MH",9522828620
CIN-489289,Metro Corp LLP,SMEBN9226X,"Plot 839, GIDC, Ahmedabad, GJ",9987940140
CIN-117159,Apex Industries LLP,EGOXL2940A,"Plot 269, GIDC, Mumbai, MH",9454838337
CIN-413606,Balaji Ventures Limited,GVJFW2443A,"Plot 373, Peenya, Delhi, DL",9241801903
CIN-721477,Metro Fabrication Limited,DUKAY7574S,"Plot 640, Hitec City, Mumbai, MH",9249884273
CIN-710924,Metro Technologies Limited,IGSYU7679D,"Gala No. 65, Shady Complex, Ahmedabad, GJ",800868010
