DeptID,EntityName,PAN,RegisteredAddress,Contact
UDYAM-278491,Prime Enterprises PvtL td,GLHEF8924L,"Gala No. 71, Shady Complex, Mumbai, MH",800782177
UDYAM-245953,Metro Fabrication iLmited,UTQFT0393K,"plot 397, hitec city, bengaluru, ka",9717194264
UDYAM-74949,Prime Ventures Pvt Ltd,TFIGO3594V,"Plot 848, Hitec City, Hyderabad, TS",9760016090
UDYAM-808016,Balaji Traedrs Pvt Ltd,FSRHV5047L,"Plot 695, Hitec City, Pune, MH",9605033423
UDYAM-922754,Shree Solutions Limited,QBNSG3605D,"plot 523, ph 1, electronic city, ahmedabad, gj",9226543919
UDYAM-767504,PrimeT raders LLP,GDDWL1581M,"Plot 945, Peenya, Bengaluru, KA",9655134037
UDYAM-152729,Balaji Ventures Limited,VCAZO5904T,"plot 146, peenya, delhi, dl",9588701711
UDYAM-48998,Pioneer Logistics Limited,AJYAL3406R,"Plot 607, Guindy, Chennai, TN",9242712302
UDYAM-290871,Stellar Ventures LLP,UGZSQ5157M,"plot 204, guindy, ahmedabad, gj",9907368491
UDYAM-541026,Pioneer Fabrication LLP,XADTP4775C,"plot 819, midc, delhi, dl",9156348447
UDYAM-361549,Dynamic Indutsries Limited,VQQCW1119R,"Plot 718, Hitec City, Chennai, TN",9980738210
UDYAM-523844,Global Enterprises Pvt Ltd,UDWRP1360D,"Plot 138, MIDC, Hyderabad, TS",9793472071
UDYAM-895760,Dynamic Ventures Limited,LEHNJ5982E,"plot 670, peenya, pune, mh",9429801451
UDYAM-519867,Dynamic Logistics Pvt Ltd,CKWJG9709J,"plot 241, hitec city, delhi, dl",9789856974
UDYAM-826729,Shree Ventuers LLP,ESCKV2446O,"plot 883, gidc, ahmedabad, gj",9585198157
UDYAM-665781,Dynamic Corp Pvt Ltd,TXXZM4608E,"Plot 380, Hitec City, Chennai, TN",9741894871
UDYAM-67605,Metro Ventures Pvt Ltd,VDKAM6055I,"plot 748, gidc, bengaluru, ka",9254520089
UDYAM-91555,Tech Traders Pvt Ltd,TKPSM0981Z,"plot 161, hitec city, delhi, dl",9558490056
UDYAM-688566,Dynamic Corp Pvt Ltd,GEXWY3593S,"plot 665, guindy, hyderabad, ts",9109196697
