DeptID,EntityName,PAN,RegisteredAddress,Contact
TRD-253281,PRIME ENTERPRISES,,"Gala No. 71, Shady Complex, Mumbai, MH",800782177
TRD-472571,PRIME VENTURES,,"plot 848, hitec city, hyderabad, ts",9760016090
TRD-163658,OM CORP LIMITED,,"Plot 56, Phase 1, Electronic City, Delhi, DL",9728248148
TRD-473063,STELLAR VENTURES LLP,,"plot 250, peenya, bengaluru, ka",9771763493
TRD-292021,BALAJI TRADERS,,"plot 695, hitec city, pune, mh",9605033423
TRD-640910,TECH VENTURES LLP,,"plot 186, midc, ahmedabad, gj",9967906652
TRD-319454,SHREE SOLUTIONS LIMITED,,"plot 523, ph 1, electronic city, ahmedabad, gj",9226543919
TRD-865904,PRIME TRADERS LLP,,"Plot 945, Peenya, Bengaluru, KA",9655134037
TRD-284299,BALAJI VENTURES LIMITED,,"plot 146, peenya, delhi, dl",9588701711
TRD-553541,PIONEER LOGISTICS LIMITED,,"plot 607, guindy, chennai, tn",9242712302
TRD-358812,STELLAR VENTURES LLP,,"plot 204, guindy, ahmedabad, gj",9907368491
TRD-551399,PIONEER FABRICATION LLP,,"Plot 819, MIDC, Delhi, DL",9156348447
TRD-441459,DYNAMIC INDUSTRIES LIMITED,,"plot 718, hitec city, chennai, tn",9980738210
TRD-735888,GLOBAL ENTERPRISES,,"Plot 138, MIDC, Hyderabad, TS",9793472071
TRD-926176,STELLAR SOLUTIONS LIMITED,,"plot 409, hitec city, mumbai, mh",9849899739
TRD-33327,DYNAMIC VENTURES LIMITED,,"plot 670, peenya, pune, mh",9429801451
TRD-790316,DYNAMIC LOGISTICS,,"plot 241, hitec city, delhi, dl",9789856974
TRD-877882,DYNAMIC SOLUTIONS,,"Plot 693, Hitec City, Bengaluru, KA",9106130089
TRD-307037,STELLAR FABRICATION LIMITED,,"Plot 208, Hitec City, Ahmedabad, GJ",9638815844
TRD-393626,SHREE VENTURES LLP,,"Plot 883, GIDC, Ahmedabad, GJ",9585198157
TRD-594097,APEX ENTERPRISES LIMITED,,"gala no. 9, shady complex, hyderabad, ts",800721734
TRD-977786,DYNAMIC CORP,,"plot 380, hitec city, chennai, tn",9741894871
TRD-112664,METRO VENTURES,,"plot 748, gidc, bengaluru, ka",9254520089
TRD-265887,TECH TRADERS,,"plot 161, hitec city, delhi, dl",9558490056
TRD-636753,ACME ENTERPRISES LIMITED,,"plot 710, peenya, delhi, dl",9160803851
TRD-591253,DYNAMIC CORP,,"Plot 665, Guindy, Hyderabad, TS",9109196697
TRD-879641,APEX INDUSTRIES LLP,,"Plot 915, Peenya, Chennai, TN",9973869994
TRD-694357,TECH ENTERPRISES LLP,,"plot 321, midc, bengaluru, ka",9335329944
TRD-158061,BALAJI SOLUTIONS LIMITED,,"Plot 119, Peenya, Delhi, DL",9456762047
TRD-765994,SUNRISE TRADERS LLP,,"Plot 701, MIDC, Mumbai, MH",9681595456
TRD-330423,BALAJI SOLUTIONS,,"Plot 261, Hitec City, Pune, MH",9326584576
TRD-219113,SHREE FABRICATION LIMITED,,"Plot 575, Okhla Ind Estate, Mumbai, MH",9803703706
TRD-878279,GLOBAL INDUSTRIES LIMITED,,"Plot 993, GIDC, Delhi, DL",9309208207
TRD-651474,METRO FABRICATION LLP,,"plot 881, midc, ahmedabad, gj",9262992772
TRD-205888,STELLAR TRADERS LIMITED,,"gala no. 24, shady complex, hyderabad, ts",800430565
TRD-182375,OM FABRICATION,,"plot 894, gidc, bengaluru, ka",9535091391
TRD-140422,SUNRISE TRADERS LLP,,"plot 270, gidc, delhi, dl",9383749553
TRD-896066,SUNRISE ENTERPRISES LLP,,"Plot 943, Peenya, Hyderabad, TS",9523217629
TRD-529642,GLOBAL SOLUTIONS LIMITED,,"Plot 225, MIDC, Hyderabad, TS",9307519474
TRD-815642,PRIME TECHNOLOGIES,,"Plot 166, Guindy, Chennai, TN",9669991657
TRD-56503,DYNAMIC CORP LLP,,"Plot 857, Peenya, Hyderabad, TS",9795856174
TRD-337018,DYNAMIC VENTURES,,"plot 791, midc, mumbai, mh",9800651555
TRD-50440,PRIME INDUSTRIES,,"Plot 117, Okhla Ind Estate, Delhi, DL",9512156050
TRD-93041,SUNRISE SOLUTIONS LIMITED,,"Plot 794, GIDC, Mumbai, MH",9522828620
TRD-968994,METRO CORP LLP,,"plot 839, gidc, ahmedabad, gj",9987940140
TRD-436761,APEX INDUSTRIES LLP,,"Plot 269, GIDC, Mumbai, MH",9454838337
TRD-734260,BALAJI VENTURES LIMITED,,"plot 373, peenya, delhi, dl",9241801903
TRD-821852,METRO FABRICATION LIMITED,,"plot 640, hitec city, mumbai, mh",9249884273
TRD-52947,METRO TECHNOLOGIES LIMITED,,"Gala No. 65, Shady Complex, Ahmedabad, GJ",800868010
TRD-333488,STELLAR TRADERS,,"Plot 738, Okhla Ind Estate, Chennai, TN",9720946888
TRD-66937,DYNAMIC FABRICATION LLP,,"plot 427, midc, hyderabad, ts",9314156247
TRD-370789,SHREE TECHNOLOGIES LLP,,"plot 901, ph 1, electronic city, pune, mh",9378295849
TRD-549746,SHREE SOLUTIONS LIMITED,,"plot 101, peenya, hyderabad, ts",9244221674
TRD-51570,SHREE TRADERS LLP,,"plot 720, okhla ind est, bengaluru, ka",9873096250
TRD-316686,DYNAMIC ENTERPRISES LIMITED,,"Plot 446, Peenya, Hyderabad, TS",9946579258
TRD-562602,STELLAR FABRICATION LIMITED,,"plot 645, guindy, bengaluru, ka",9388877427
TRD-324410,GLOBAL ENTERPRISES LLP,,"Plot 985, GIDC, Chennai, TN",9332324787
TRD-729287,PIONEER LOGISTICS LLP,,"plot 691, gidc, bengaluru, ka",9999693047
TRD-433900,GLOBAL FABRICATION,,"plot 176, hitec city, mumbai, mh",9678481443
TRD-670001,SHREE INDUSTRIES LLP,,"Plot 644, MIDC, Delhi, DL",9532288739
TRD-987523,BALAJI TECHNOLOGIES,,"plot 919, hitec city, pune, mh",9414243276
TRD-68169,METRO TECHNOLOGIES,,"plot 108, guindy, hyderabad, ts",9151234577
TRD-779694,PRIME INDUSTRIES,,"Gala No. 10, Shady Complex, Pune, MH",800416060
TRD-447564,SHREE INDUSTRIES LIMITED,,"Plot 748, Phase 1, Electronic City, Ahmedabad, GJ",9786225820
TRD-980583,TECH TRADERS,,"Plot 654, Hitec City, Pune, MH",9912966413
TRD-342242,ACME TECHNOLOGIES LLP,,"Plot 246, MIDC, Chennai, TN",9432907269
TRD-218109,STELLAR VENTURES LLP,,"Plot 768, Phase 1, Electronic City, Ahmedabad, GJ",9234407655
TRD-179025,PRIME INDUSTRIES LIMITED,,"Plot 958, Okhla Ind Estate, Hyderabad, TS",9793024569
TRD-351244,GLOBAL TRADERS LLP,,"plot 536, midc, ahmedabad, gj",9831061074
TRD-87012,METRO FABRICATION LIMITED,,"plot 255, hitec city, delhi, dl",9678236088
TRD-908050,PRIME LOGISTICS LLP,,"plot 935, ph 1, electronic city, bengaluru, ka",9842776680
TRD-625031,OM ENTERPRISES LIMITED,,"Plot 910, GIDC, Bengaluru, KA",9942226050
TRD-234337,ACME ENTERPRISES,,"plot 8, hitec city, mumbai, mh",9668302099
TRD-319899,OM ENTERPRISES LLP,,"plot 709, peenya, ahmedabad, gj",9158292355
TRD-402022,TECH VENTURES LIMITED,,"Plot 735, Peenya, Mumbai, MH",9253978668
TRD-801820,OM TECHNOLOGIES LLP,,"Plot 944, MIDC, Ahmedabad, GJ",9424060931
TRD-408162,SUNRISE TRADERS LLP,,"plot 183, ph 1, electronic city, hyderabad, ts",9103783856
TRD-738582,BALAJI TECHNOLOGIES LIMITED,,"Plot 785, Phase 1, Electronic City, Chennai, TN",9996072388
TRD-387471,PRIME VENTURES LIMITED,,"Plot 690, Peenya, Pune, MH",9415307846
TRD-833820,TECH SOLUTIONS LLP,,"plot 203, hitec city, delhi, dl",9219134478
TRD-87975,TECH INDUSTRIES LIMITED,,"Plot 597, MIDC, Bengaluru, KA",9399719107
TRD-796874,GLOBAL VENTURES LLP,,"Plot 352, Okhla Ind Estate, Chennai, TN",9686398844
TRD-563396,ACME ENTERPRISES LIMITED,,"Plot 187, Okhla Ind Estate, Chennai, TN",9569804016
TRD-163788,BALAJI INDUSTRIES LLP,,"gala no. 100, shady complex, ahmedabad, gj",800116478
TRD-342104,PRIME TECHNOLOGIES LLP,,"Plot 674, Hitec City, Mumbai, MH",9971940396
TRD-949880,METRO TECHNOLOGIES LIMITED,,"Plot 337, Hitec City, Ahmedabad, GJ",9384347408
TRD-821419,METRO LOGISTICS LIMITED,,"Plot 814, Hitec City, Mumbai, MH",9840957773
TRD-743446,TECH TRADERS LLP,,"plot 509, hitec city, mumbai, mh",9221971458
TRD-523710,ACME VENTURES LLP,,"plot 4, gidc, bengaluru, ka",9353008144
TRD-644402,GLOBAL LOGISTICS,,"plot 239, ph 1, electronic city, ahmedabad, gj",9695205621
TRD-947649,STELLAR SOLUTIONS,,"plot 947, ph 1, electronic city, chennai, tn",9180733638
TRD-312044,BALAJI VENTURES,,"Plot 61, Hitec City, Pune, MH",9398058231
TRD-31747,STELLAR INDUSTRIES,,"plot 47, gidc, hyderabad, ts",9513442250
TRD-30614,PRIME TRADERS LLP,,"Plot 14, GIDC, Chennai, TN",9503065501
TRD-318900,PRIME FABRICATION LIMITED,,"plot 18, hitec city, mumbai, mh",9945068601
TRD-756671,STELLAR CORP LLP,,"Plot 338, Peenya, Delhi, DL",9543530970
TRD-777787,PRIME ENTERPRISES,,"plot 592, okhla ind est, delhi, dl",9389752880
TRD-946440,METRO TECHNOLOGIES LLP,,"Plot 229, Phase 1, Electronic City, Ahmedabad, GJ",9476746918
TRD-873948,TECH FABRICATION LLP,,"Plot 274, GIDC, Mumbai, MH",9499279935
TRD-591287,TECH LOGISTICS LIMITED,,"Plot 369, Guindy, Ahmedabad, GJ",9644855071
TRD-451995,PIONEER ENTERPRISES LLP,,"Plot 176, Okhla Ind Estate, Bengaluru, KA",9234879181
TRD-463909,PRIME SOLUTIONS,,"plot 893, gidc, mumbai, mh",9688582893
TRD-463168,SHREE TRADERS LIMITED,,"Plot 723, Hitec City, Pune, MH",9636762934
TRD-58058,SUNRISE LOGISTICS LIMITED,,"plot 423, peenya, pune, mh",9109807249
TRD-304812,PRIME TECHNOLOGIES LIMITED,,"Plot 808, Hitec City, Bengaluru, KA",9437774165
TRD-143807,SUNRISE LOGISTICS LLP,,"plot 862, okhla ind est, mumbai, mh",9846579654
TRD-292423,BALAJI ENTERPRISES LLP,,"plot 618, ph 1, electronic city, ahmedabad, gj",9847340194
TRD-572797,OM ENTERPRISES LIMITED,,"plot 229, okhla ind est, hyderabad, ts",9344173743
TRD-787940,OM VENTURES,,"plot 602, okhla ind est, chennai, tn",9151140555
TRD-885334,ACME FABRICATION LLP,,"plot 923, peenya, ahmedabad, gj",9390253416
TRD-734465,ACME ENTERPRISES,,"Plot 449, Hitec City, Mumbai, MH",9346075694
TRD-527400,OM TECHNOLOGIES LLP,,"plot 163, ph 1, electronic city, hyderabad, ts",9233158708
TRD-919403,SUNRISE ENTERPRISES,,"Plot 898, MIDC, Hyderabad, TS",9540047587
TRD-527579,APEX VENTURES LLP,,"plot 571, midc, bengaluru, ka",9515803809
TRD-313438,OM INDUSTRIES LLP,,"Plot 280, Okhla Ind Estate, Hyderabad, TS",9490611039
TRD-188101,OM TRADERS,,"plot 466, okhla ind est, mumbai, mh",9231541513
TRD-563252,SUNRISE INDUSTRIES LIMITED,,"Plot 764, Hitec City, Bengaluru, KA",9977227875
TRD-84876,ACME VENTURES LLP,,"Plot 69, Peenya, Bengaluru, KA",9701474954
TRD-327511,SUNRISE VENTURES,,"Plot 465, Peenya, Ahmedabad, GJ",9116342420
TRD-974392,DYNAMIC ENTERPRISES,,"Plot 662, Guindy, Chennai, TN",9643249262
TRD-404847,BALAJI INDUSTRIES,,"plot 525, gidc, delhi, dl",9640539501
TRD-887904,APEX VENTURES,,"plot 844, peenya, pune, mh",9257717811
TRD-451754,PRIME INDUSTRIES LLP,,"Plot 615, Peenya, Ahmedabad, GJ",9709487573
TRD-843316,PIONEER SOLUTIONS LLP,,"plot 289, okhla ind est, delhi, dl",9664409813
TRD-710877,SHREE VENTURES,,"plot 783, gidc, bengaluru, ka",9883611973
TRD-309494,SUNRISE INDUSTRIES LLP,,"Gala No. 8, Shady Complex, Bengaluru, KA",800327006
TRD-807912,STELLAR ENTERPRISES LIMITED,,"plot 944, peenya, chennai, tn",9701175905
TRD-204663,STELLAR CORP,,"plot 847, peenya, bengaluru, ka",9363158788
TRD-212516,ACME SOLUTIONS LLP,,"Plot 231, Guindy, Ahmedabad, GJ",9238433709
TRD-65756,SUNRISE ENTERPRISES LLP,,"Plot 676, Okhla Ind Estate, Bengaluru, KA",9881003696
TRD-715651,TECH SOLUTIONS LIMITED,,"Plot 247, Peenya, Hyderabad, TS",9420354878
TRD-838178,STELLAR FABRICATION LLP,,"plot 686, guindy, ahmedabad, gj",9232225231
TRD-949807,PRIME INDUSTRIES,,"Gala No. 8, Shady Complex, Bengaluru, KA",800327006
TRD-190553,APEX VENTURES LLP,,"Plot 790, MIDC, Mumbai, MH",9933520627
TRD-737315,SUNRISE VENTURES,,"Plot 552, Hitec City, Pune, MH",9824115855
TRD-758037,OM VENTURES,,"Plot 205, Okhla Ind Estate, Pune, MH",9802874219
TRD-557620,APEX TRADERS,,"plot 214, guindy, bengaluru, ka",9960255364
TRD-610291,PRIME TRADERS,,"plot 353, hitec city, bengaluru, ka",9754648028
TRD-412307,TECH TRADERS,,"gala no. 99, shady complex, mumbai, mh",800339890
TRD-337421,BALAJI VENTURES LIMITED,,"plot 756, midc, mumbai, mh",9863860879
TRD-272470,METRO ENTERPRISES LIMITED,,"plot 420, gidc, hyderabad, ts",9488690400
TRD-365934,METRO TECHNOLOGIES,,"plot 641, peenya, hyderabad, ts",9175829740
TRD-810085,METRO FABRICATION,,"plot 112, gidc, pune, mh",9975823444
TRD-338319,APEX TRADERS,,"plot 398, hitec city, hyderabad, ts",9395968804
TRD-953348,METRO VENTURES LLP,,"Plot 978, Guindy, Hyderabad, TS",9478416256
TRD-368384,PRIME VENTURES LLP,,"plot 418, hitec city, chennai, tn",9227637782
TRD-225452,BALAJI SOLUTIONS LLP,,"Plot 857, Guindy, Hyderabad, TS",9250037608
TRD-159873,GLOBAL CORP LIMITED,,"Plot 30, Hitec City, Bengaluru, KA",9772294863
TRD-922646,SUNRISE CORP LLP,,"plot 403, guindy, chennai, tn",9852092743
TRD-500711,OM LOGISTICS LLP,,"Plot 124, MIDC, Bengaluru, KA",9455739934
TRD-939912,APEX INDUSTRIES LIMITED,,"plot 575, hitec city, bengaluru, ka",9157401347
TRD-65752,DYNAMIC VENTURES LLP,,"Plot 779, GIDC, Mumbai, MH",9131546157
TRD-300208,BALAJI TRADERS,,"Plot 78, Hitec City, Delhi, DL",9403342779
TRD-439973,OM INDUSTRIES LLP,,"Plot 968, Phase 1, Electronic City, Ahmedabad, GJ",9136905995
TRD-798387,APEX TRADERS LLP,,"Plot 692, Hitec City, Bengaluru, KA",9682255718
TRD-851419,SUNRISE TECHNOLOGIES LLP,,"plot 231, ph 1, electronic city, mumbai, mh",9232324943
TRD-904577,SHREE SOLUTIONS,,"plot 226, peenya, chennai, tn",9371911081
TRD-268628,GLOBAL LOGISTICS LLP,,"plot 12, okhla ind est, bengaluru, ka",9988204111
TRD-316421,DYNAMIC INDUSTRIES,,"plot 243, okhla ind est, hyderabad, ts",9386993830
TRD-321850,BALAJI ENTERPRISES,,"Plot 771, Peenya, Mumbai, MH",9658556148
TRD-912325,BALAJI CORP,,"plot 172, peenya, delhi, dl",9935924966
TRD-776575,OM VENTURES,,"Plot 742, Okhla Ind Estate, Mumbai, MH",9191805516
TRD-730897,ACME TECHNOLOGIES LIMITED,,"plot 977, okhla ind est, delhi, dl",9870969093
TRD-592764,DYNAMIC LOGISTICS,,"plot 878, guindy, pune, mh",9562158562
TRD-137783,TECH ENTERPRISES LLP,,"plot 48, okhla ind est, hyderabad, ts",9322581964
TRD-665165,OM CORP LLP,,"Plot 70, Peenya, Ahmedabad, GJ",9386064760
TRD-467633,SUNRISE CORP,,"plot 625, ph 1, electronic city, hyderabad, ts",9694404767
TRD-507698,GLOBAL TRADERS LIMITED,,"Plot 977, GIDC, Bengaluru, KA",9879710594
TRD-739494,GLOBAL LOGISTICS,,"plot 51, okhla ind est, delhi, dl",9541266856
TRD-145161,METRO VENTURES LLP,,"plot 389, midc, mumbai, mh",9545766155
TRD-153263,SHREE VENTURES,,"plot 699, okhla ind est, mumbai, mh",9678908150
TRD-643687,STELLAR TECHNOLOGIES,,"plot 369, hitec city, delhi, dl",9725198225
TRD-867035,SUNRISE INDUSTRIES LLP,,"plot 469, gidc, bengaluru, ka",9974262101
TRD-792760,SHREE SOLUTIONS LIMITED,,"plot 9, ph 1, electronic city, pune, mh",9347125080
TRD-333326,SUNRISE FABRICATION LLP,,"Plot 394, Peenya, Bengaluru, KA",9583566956
TRD-651831,METRO TECHNOLOGIES,,"plot 282, guindy, chennai, tn",9566192785
TRD-319654,STELLAR TECHNOLOGIES,,"plot 627, ph 1, electronic city, hyderabad, ts",9518611187
TRD-193492,SUNRISE CORP LIMITED,,"Plot 600, MIDC, Mumbai, MH",9475723679
