DeptID,EntityName,PAN,RegisteredAddress,Contact
SHOP-791838,PRIME ENTERPRISES,,"gala no. 71, shady complex, mumbai, mh",800782177
SHOP-127054,METRO FABRICATION LIMITED,,"plot 397, hitec city, bengaluru, ka",9717194264
SHOP-261970,OM CORP LIMITED,,"plot 56, ph 1, electronic city, delhi, dl",9728248148
SHOP-81586,STELLAR VENTURES LLP,,"plot 250, peenya, bengaluru, ka",9771763493
SHOP-705353,BALAJI TRADERS,,"plot 695, hitec city, pune, mh",9605033423
SHOP-390458,PRIME VENTURES,,"plot 877, peenya, delhi, dl",9118872918
SHOP-178060,TECH VENTURES LLP,,"Plot 186, MIDC, Ahmedabad, GJ",9967906652
SHOP-937925,SHREE SOLUTIONS LIMITED,,"plot 523, ph 1, electronic city, ahmedabad, gj",9226543919
SHOP-585490,PRIME TRADERS LLP,,"Plot 945, Peenya, Bengaluru, KA",9655134037
SHOP-320463,BALAJI VENTURES LIMITED,,"Plot 146, Peenya, Delhi, DL",9588701711
SHOP-16949,PIONEER LOGISTICS LIMITED,,"plot 607, guindy, chennai, tn",9242712302
SHOP-286855,STELLAR VENTURES LLP,,"Plot 204, Guindy, Ahmedabad, GJ",9907368491
SHOP-160085,PIONEER FABRICATION LLP,,"plot 819, midc, delhi, dl",9156348447
SHOP-730376,DYNAMIC INDUSTRIES LIMITED,,"Plot 718, Hitec City, Chennai, TN",9980738210
SHOP-924645,GLOBAL TRADERS,,"Plot 390, Phase 1, Electronic City, Bengaluru, KA",9653253499
SHOP-907153,GLOBAL ENTERPRISES,,"plot 138, midc, hyderabad, ts",9793472071
SHOP-893570,STELLAR SOLUTIONS LIMITED,,"Plot 409, Hitec City, Mumbai, MH",9849899739
SHOP-941200,DYNAMIC VENTURES LIMITED,,"Plot 670, Peenya, Pune, MH",9429801451
SHOP-193891,DYNAMIC LOGISTICS,,"plot 241, hitec city, delhi, dl",9789856974
SHOP-841125,DYNAMIC SOLUTIONS,,"plot 693, hitec city, bengaluru, ka",9106130089
SHOP-513658,SUNRISE VENTURES LIMITED,,"Plot 1, Phase 1, Electronic City, Mumbai, MH",9243680464
SHOP-983888,PIONEER FABRICATION LIMITED,,"plot 587, gidc, delhi, dl",9125117281
SHOP-736043,APEX ENTERPRISES LIMITED,,"gala no. 9, shady complex, hyderabad, ts",800721734
SHOP-961384,DYNAMIC CORP,,"plot 380, hitec city, chennai, tn",9741894871
