DeptID,EntityName,PAN,RegisteredAddress,Contact
PCB-963363,METRO FABRICATION LIMITED,,"plot 397, hitec city, bengaluru, ka",9717194264
PCB-556040,STELLAR VENTURES LLP,,"Plot 250, Peenya, Bengaluru, KA",9771763493
PCB-806476,BALAJI TRADERS,,"Plot 695, Hitec City, Pune, MH",9605033423
PCB-551006,PRIME VENTURES,,"plot 877, peenya, delhi, dl",9118872918
PCB-143182,SHREE SOLUTIONS LIMITED,,"plot 523, ph 1, electronic city, ahmedabad, gj",9226543919
PCB-374856,PRIME TRADERS LLP,,"plot 945, peenya, bengaluru, ka",9655134037
PCB-277530,DYNAMIC INDUSTRIES LIMITED,,"Plot 718, Hitec City, Chennai, TN",9980738210
PCB-895312,GLOBAL ENTERPRISES,,"plot 138, midc, hyderabad, ts",9793472071
PCB-890208,DYNAMIC LOGISTICS,,"plot 241, hitec city, delhi, dl",9789856974
PCB-822384,STELLAR FABRICATION LIMITED,,"plot 208, hitec city, ahmedabad, gj",9638815844
PCB-147329,PIONEER FABRICATION LIMITED,,"plot 587, gidc, delhi, dl",9125117281
PCB-76402,TECH ENTERPRISES LLP,,"plot 321, midc, bengaluru, ka",9335329944
PCB-900326,BALAJI SOLUTIONS,,"plot 261, hitec city, pune, mh",9326584576
PCB-59456,METRO FABRICATION LLP,,"Plot 881, MIDC, Ahmedabad, GJ",9262992772
PCB-293604,SUNRISE TRADERS LLP,,"plot 270, gidc, delhi, dl",9383749553
PCB-857495,SUNRISE ENTERPRISES LLP,,"plot 943, peenya, hyderabad, ts",9523217629
PCB-343148,GLOBAL SOLUTIONS LIMITED,,"plot 225, midc, hyderabad, ts",9307519474
PCB-418424,DYNAMIC VENTURES,,"plot 791, midc, mumbai, mh",9800651555
PCB-19930,METRO CORP LLP,,"Plot 839, GIDC, Ahmedabad, GJ",9987940140
PCB-375573,BALAJI VENTURES LIMITED,,"Plot 373, Peenya, Delhi, DL",9241801903
PCB-179198,METRO TECHNOLOGIES LIMITED,,"Gala No. 65, Shady Complex, Ahmedabad, GJ",800868010
PCB-909138,SHREE TECHNOLOGIES LLP,,"Plot 901, Phase 1, Electronic City, Pune, MH",9378295849
